Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,
2011,East Garo Hills district,India,25.755953,90.677305,Facility-Infrastructure Attack,Police,Police Patrol (including vehicles and convoys),A vehicle transporting the Special Weapons and Tactics (SWAT) commandos,Firearms,Unknown Gun Type,Garo National Liberation Army,"The specific motive for the attack is unknown; however, the Garo National Liberation Army (GNLA) blamed the attack was carried out by its rival group the A chik National Volunteers Council (ANCV) claiming that they fired on the police vehicle suspecting the police to be GLNA militants.","08/22/2011: On Monday evening at 2100, in Baija area of East Garo Hills, Meghalaya, India, Special Weapons and Tactics (SWAT) commandos were ambushed by a group of six suspected Garo National Liberation Army (GNLA) militants. The vehicle carrying the team was damaged in the attack. No casualties were reported and no group claimed responsibility. The GNLA denied its involvement in the attack and blamed instead its rival group the Achik National Volunteers Council (ANCV) claiming that they fired on the police vehicle suspecting the police to be GLNA militants.",
2011,West Midnapore district,India,22.404193,87.379866,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,A civilian and suspected police informer was targeted in the attack.,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The attack was carried out because the victim was accused of being a police informer.,"08/22/2011: On Monday, in the village of Tungbhedua in West Midnapore, West Bengal, India, a civilian identified as Tapan Deswali was shot and killed by Communist Party of India-Maoist (CPI-M) militants. CIP-Maoist militants claimed responsibility for the killing by leaving posters in the area claiming that Deswali was a police informant.",
2011,Sukma,India,18.39186,81.657827,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","Bhima Ram Madkam, a congress leader and Janpad (administrative division) member,",Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/24/2011: On Wednesday morning, in Dantewada, Chhattisgarh, India, four suspected Communist Party of India-Maoist (CPI-M) cadres killed a congress leader and Janpad (administrative division) member, identified as Bhima Ram Madkam, at his residence in Neelavaram village. Bhima was on the Maoist hit-list. No group claimed responsibility for the attack.",
2011,Baramulla,India,34.205141,74.349494,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,"Javaid Ahmed Lone, a Special Police Officer (SPO), was targeted in the attack.",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"08/24/2011: On Wednesday, in Baramulla, Jammu and Kashmir, India, unidentified militants shot and injured a Special Police Officer (SPO), Javaid Ahmed Lone, of Logripora Bomai Sopore, in his home. No group claimed responsibility for the attack.",
2011,Dhangri,India,22.309825,86.956151,Facility-Infrastructure Attack,Government (General),Politician or Political Party Movement/Meeting/Rally,"A political activist of the ruling Trinamool Congress (TC) party, identified as Rabindranath Mishra,",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),"The specific motive for the attack is unknown; however,  the Maoist had alleged that the Janajagaran Manch, an anti-Maoist platform set up by the TC, has been thwarting the democratic rights of the tribes.","08/24/2011: On Wednesday evening around 2000, in Dhangri village in Jhargram, Medinipur, West Bengal, India, 10-12 cadres of the Communist Party of India-Maoist (CPI-M) shot point blank range and killed political activist of the ruling Trinamool Congress (TC) party, identified as Rabindranath Mishra. This is the first time, after Mamata Banergee's government came to power in the state on 05/20/2011, that a TC activist was killed by the Maoist. The Maoist had alleged that the Janajagaran Manch, an anti-Maoist platform set up by the TC, has been thwarting the democratic rights of the tribes.",
2011,Madanwada,India,20.244972,80.711144,Facility-Infrastructure Attack,Business,0,A grain trader identified as Vineet Jain (Binu Jain) and his vehicles,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/25/2011: On Thursday, in the Madanwada area of Karekatta village in Raj Nandgaon, Chhattisgarh, India, a grain trader was shot and killed while he was on his way to a local market. The victim was identified as Vineet Jain (Binu Jain). He was travelling with two teachers and a shoe seller when three Communist Party of India-Maoist (CPI-Maoist) cadres intercepted his vehicle. The Maoists are reported to have hijacked Jain's vehicle, asked his companions to leave, and then shot him two times before setting his car on fire. The attack resulted in an unknown amount of property damage to the car and no group claimed responsibility for the attack.",
2011,Imphal,India,24.817011,93.936844,Facility-Infrastructure Attack,Government (General),Government Building/Facility/Office,"The target was the office complex of Planning and Development Authority in Imphal West, Manipur, India.",Explosives/Bombs/Dynamite,Grenade,Unknown,The specific motive for the attack is unknown.,"08/25/2011: On Thursday, in Imphal West, Manipur, India, a hand grenade was lobbed inside the office complex of Planning and Development Authority, located near the gate of 2nd Manipur Rifles at Kabow Leikai. The grenade was defused before it detonated resulting in no casualties or damages. No group claimed responsibility for the attack.",
2011,Bokaro,India,23.669296,86.151112,Facility-Infrastructure Attack,Transportation,Bridge/Car Tunnel,A bridge was targeted in the attack.,Explosives/Bombs/Dynamite,Land Mine,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/27/2011: On Saturday morning, under a bridge on a road near Pilpilo More in Bokaro, Jharkhand, India, police recovered five landmines weighing about five kilograms each planted by suspected Communist Party of India-Maoist (CPI-M). A bomb disposal squad later destroyed the explosives resulting in no casualties or damages. No group claimed responsibility for the attack.",
2011,Imphal,India,24.815897,93.922828,Facility-Infrastructure Attack,Business,Medical/Pharmaceutical,The Regional Institute of Medical Science (RIMS) and Hospital,Explosives/Bombs/Dynamite,Grenade,Kangleipak Communist Party (KCP),"The specific motive for the attack is unknown; however, the Kangleipak Communist Party (KCP) are suspected to have placed the grenade there as a response to their failed attempt to extort money from the hospital.","08/28/2011: On Sunday around 1230 noon, at the Regional Institute of Medical Science (RIMS) and Hospital in Imphal West, Manipur, India, a Chinese-made grenade, wrapped in paper and bearing the name Kangleipak Communist Party (KCP), was discovered at the outpatient department. The Kangleipak Communist Party (KCP) are suspected to have placed the grenade there as a response to their failed attempt to extort money from the hospital. Experts later defused the grenade resulting in no casualties or damages and no group claimed responsibility for the attack.",
2011,Udalguri,India,26.746018,92.095943,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","The residence of Rihon Daimar, the sitting MLA of Udalguri constituency, was targeted in the attack.",Firearms,Unknown Gun Type,Unknown,"The specific motive for the attack is unknown; however, the residence that was attacked belonged to the sitting Member of Legislative Assembly (MLA) of Udalguri constituency.","08/28/2011: On Sunday night around 0240, in Udalguri, Assam, India, two unidentified militants on a motorcycle fired at the security guard, Bhaben Kalita, at the residence of Rihon Daimari. Daimari is the sitting Member of Legislative Assembly (MLA) of Udalguri constituency. The security guard escaped unhurt in the attack and no other casualties or damages were reported. No group claimed responsibility for the attack.",
2011,Wagub,India,34.245007,74.476548,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,A civilian truck driver was targeted in the attack.,Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"08/29/2011: On Monday afternoon, in Wabug, Sopore, Baramulla, Jammu and Kashmir, India, unidentified gunmen shot and wounded a civilian. The militants entered the house of a truck driver, Zahoor Ahmad Shah, and fired upon him, wounding him in the left arm. No group has claimed responsibility for this attack.",
2011,Kiphire district,India,25.81876,94.852064,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)",Four Tikhir tribesmen as they were on their way to the Tikhir Tribal Council (TTC) meeting at Kiusum,Unknown,0,Yimchunger Liberation Front (YLF),The specific motive for the attack is unknown.,"08/29/2011: On Monday, in Kiphire, Nagaland, India, 25-30 members calling themselves the Yimchunger Liberation Front (YLF) kidnapped four Tikhir tribesmen as they were on their way to the Tikhir Tribal Council (TTC) meeting at Kiusum. Reportedly, the tribesmen were abducted from High Bridge between Sikur and Lasukiur when the assailants detained the men traveling in a gypsy (NL-03-1456) and were identified as Kiusum Village Council chairman WK Merenba, L. Mongtsiu, P Yamliu and the driver Venthong. Merenba and Venthong were released that same day at 1630, while Mogtsiu and Yamliu remained in the custody of the abductors. The assailants had blindfolded them and beat them. The Yimchunger Tribal Council has denied any knowledge of the YLFs existence. The status of the remaining two hostages is unknown.",
2011,Raipur,India,21.251384,81.629641,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,The targets of the attempted bombing were police officers.,Explosives/Bombs/Dynamite,Other Explosive Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/01/2011 (Default date): On Thursday, in Raipur, Chhattisgarh, India, suspected militants of the Communist Party of India-Maoist group (CPI-M) planted a 25 kilogram roadside improvised explosive device targeting police on patrol. Police defused the IED on 09/22/2011 resulting in no casualties or damages. No group claimed responsibility for the attack.",
2011,Palamu district,India,24.128611,84.185712,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/01/2011 (Default date): On Thursday, in Palamau, Jharkhand, India, two youths were abducted by Communist Party of India-Maoist (CPI-Maoist) militants. The hostages were taken to the dense forests of Garu in the adjoining Latehar District, where a Jan Adalat (kangaroo Court) was held which declared them guilty of extorting under the name of the CPI-Maoists. On the night of 09/04/2011, the bodies of the youths were found near Baresand bus-stand along the Garu-Mahuatand road. A note was left beside their bodies by CPI-Maoists, claiming the two were found guilty of their crimes.",
2011,Nalbari,India,26.444112,91.44136,Facility-Infrastructure Attack,Police,"Police Building (headquarters, station, school)",A Tihu Police Station barrack was targeted in the bombing.,Explosives/Bombs/Dynamite,Grenade,United Liberation Front of Assam (ULFA),The specific motive for the attack is unknown.,"09/02/2011: On Friday evening around 1850, in Nalbari, Assam, India, a grenade was thrown by a suspected Anti-Talks Faction of United Liberation Front of Asom (ULFA-ATF) militant at the Barrack of Tihu Police Station. The blast caused damage to the wall of the barrack, but resulted in no casualties. Police later arrested a youth identified as Bakul Swargiary in connection with the attack, but ULFA-ATF denied Swargiary's involvement. The ULFA (Anti-talk faction), Arunodoy Dohotiya, claimed responsibility for the attack.",
2011,Katoria,India,24.747169,86.720707,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Melee,Blunt Object,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/02/2011: On Friday night, at Dhadhar Jor village in Katoria, Banka, Bihar, India, a group of about 35 suspected Communist Party of India-Maoist (CPI-M) militants carrying wooden sticks raided a Ghaghrizore Hamlet. During the raid (CPI-M) militants wounded Sunil Mandal. The specific motive for the attack is unknown, but reports indicate that the militants beat him to death when he refused to join them. Another source indicates that Mandal was killed for being a police informer. No group claimed responsibility for the attack.",
2011,Malkangiri,India,18.364195,81.892418,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/02/2011: On Friday night, in Malkangiri, Odisha, India, a group of suspected Communist Party of India-Maoist (CPI-M) militants kidnapped and later shot and killed Purna Chandra Dalai, local Bharatiya Janata party (BJP) leader. Dalai was suspected of being a police informer and was killed because of it. No group claimed responsibility for the attack.",
2011,Hailabandi district,India,24.585433,92.589132,Facility-Infrastructure Attack,Business,0,"A bamboo trader, identified as Liaqut Ali Barbhuiya,",Unknown,0,United Democratic Liberation Army (UDLA),"The specific motive for the attack is unknown; however, police suspect that a business rivalry was the reason for the attack.","09/05/2011: On Monday, in Haticharra forests in Hailakandi, Assam, India, suspected United Democratic Liberation Army (UDLA) militants abducted a bamboo trader, identified as Liaqut Ali Barbhuiya, while he went to pay wages to laborers. The victim was later killed and his body was recovered by police on 09/21/2011. The specific motive for the attack is unknown; however, police suspect that a business rivalry was the reason for the attack. No group claimed responsibility for the attack, but police arrested a Reang militant Baburai Reang who confessed the crime.",
2011,Bijapur,India,18.791667,80.816667,Facility-Infrastructure Attack,Police,"Police Building (headquarters, station, school)",A Central Reserve Police Force (CRPF) camp was targeted in the attack.,Incendiary,Gasoline or Alcohol,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/05/2011: On Monday night, near Bijapur, Chhattisgarh, India, suspected Communist Party of India-Maoists (CPI-M) attacked a Central Reserve Police Force (CRPF) camp and set it on fire using Kerosene. The structure of the camp was destroyed and the loss was estimated to be around $104,913 (INR 5 million), but it resulted in no casualties. No group claimed responsibility for the attack.",
2011,Dhalai district,India,23.919906,91.850304,Facility-Infrastructure Attack,Private Citizens & Property,Named Civilian,"Two people, identified as Birkumar Reang and Pranay Tripura,",Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),"The specific motive for the attack is unknown; however, according to police, the militants issued extortion notices to the villagers a few days ago.","09/05/2011: On Monday night, in Jatindra Roajapara in Dhalai, Tripura, India, suspected National Liberation Front of Tripura (NLFT) kidnapped two people, identified as Birkumar Reang and Pranay Tripura, at gunpoint. According to police, the militants issued extortion notices to the villagers a few days ago. No group claimed responsibility for the attack and the status of the hostages is unknown.",
2011,Koraput,India,18.815236,82.712102,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Three villagers,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),"The specific motive for the attack is unknown; however, one of the victims was killed for allegedly being a police informer.","09/07/2011: On Wednesday, in Koraput, Odisha, India, in one of two related attacks, Communist Party of India-Maoist (CPI-M) militants abducted seven villagers from the Borigi and Nangelbeda villages. On the night of 09/09/2011, the militants killed two villagers suspected of being police informers and released the five remaining hostages. The deceased were identified as M Shankar and P Santosh. A Maoist note recovered from the incident site claimed responsibility, stating that the civilians were killed for being police informers.",
2011,Koraput,India,18.815236,82.712102,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Two villagers,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),"The specific motive for the attack is unknown; however, one of the victims was killed for allegedly being a police informer.","09/07/2011: On Wednesday, in Koraput, Odisha, India, in one of two related attacks, Communist Party of India-Maoist (CPI-M) militants abducted seven villagers from the Borigi and Nangelbeda village. On the night of 09/09/2011, the militants killed two villagers suspected of being police informers and released the five remaining hostages. The deceased were identified as M Shankar and P Santosh. A Maoist note recovered from the incident site claimed responsibility, stating that the civilians were killed for being police informers.",
2011,Karbi Anglong district,India,25.960734,93.497468,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","Jirsong Engti, the son of a local congress leader Rajen Engti,",Unknown,0,Unknown,"The motive for the attack is unknown; however, the father of the boy was Rajen Engti, a local congress leader.","09/07/2011: On Wednesday morning at 0740, in Karbi Anglong, Assam, India, unidentified militants abducted a minor identified as Jirsong Engti. The motive for the attack is unknown; however, the father of the boy was Rajen Engti, a local congress leader. No group claimed responsibility for the attack and the status of the hostage is unknown.",
2011,New Delhi,India,28.632381,77.220004,Facility-Infrastructure Attack,Government (General),Judge/Attorney/Court,The New Delhi High Court was targeted in the attack.,Explosives/Bombs/Dynamite,Other Explosive Type,Harkatul Jihad-e-Islami,The attack was carried out to call Indian authorities to overturn the death sentence of a man convicted in connection with an attack on the Indian Parliament in 2001.,"09/07/2011: On Wednesday morning around 1015, at a High Court building in New Delhi, Delhi, India, at least 10 people were killed and 45 others wounded when five to seven militants detonated an improvised explosive device. Reportedly, the explosive device was hidden in a briefcase and placed at gate number four and five to the entrance of the court, which detonated just minutes before the court opened. Officials believe the explosive was assembled two hours before the attack and constructed using a chemical compound, shrapnel and had a cell phone as a detonator. Sources said that there were at least five militants present near gate number five while three others remained at the getaway car. The attack caused an unknown amount of property damage to the court but created a deep crater at the incident site. On 09/14/2011, another victim, identified as Mridul Bakshi succumbed to his injuries increasing the death toll. The Harakat-ul-Jihad-ul-Islami (HUJI) claimed responsibility for the attack through an email message, saying that the HUJI called on Indian authorities to overturn the death sentence of a man convicted in connection with an attack on the Indian Parliament in 2001. Reportedly, investigators believe the attack was carried out by the HUJI with the support of Indian Mujahideen (IM). Three people were arrested in connection with the attack, including an internet caf� owner identified as Mehmood Aziz and his brother Khalid Aziz. On 09/17/2011 another victim, identified as Rattan Lal succumbed to his injuries, bringing the death toll to 15.",
2011,West Garo Hills district,India,25.570455,90.218384,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","Deepak Saha, a contractor of the Meghalaya Public Health Engineering Department,",Firearms,Unknown Gun Type,Garo National Liberation Army,"The specific motive for the attack is unknown; however, it was reported that Saha is a top contractor involved with government work.","09/07/2011: On Wednesday night, at Kherapara Songma in West Garo Hills, Meghalaya, India, in one of two related attacks, 11 suspected militants of the Garo National Liberation Army (GNLA) abducted a contractor of the Meghalaya Public Health Engineering Department identified as Deepak Saha at gunpoint. On 09/09/2011, Saha was released unharmed. The specific motive for the attack is unknown; however, it was reported that Saha is a top contractor involved with government work. No damages were reported and no group claimed responsibility for the attack.",
2011,West Garo Hills district,India,25.570455,90.218384,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","Abdul Rashid,  a contractor of the Meghalaya Public Health Engineering Department,",Unknown,0,Garo National Liberation Army,The specific motive for the attack is unknown.,"09/07/2011: On Wednesday night, from the Haldibari bridge in Haldibari village, West Garo Hills, Meghalaya, India, in one of two related attacks, 11 suspected militants of the Garo National Liberation Army (GNLA) abducted a contractor of the Meghalaya Public Health Engineering Department identified as Abdul Rashid. Reportedly, a ransom of $104,913 (Rs 50 lakh) was demanded. On 09/09/2011, Rashid was released unharmed. No damages were reported and no group claimed responsibility for the attack.",
2011,Umrangso,India,25.51187,92.738277,Facility-Infrastructure Attack,Business,Retail/Grocery/Bakery,"A civilian and shop owner, identified as Giridhari Sahu,",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"09/09/2011: On Friday evening at 2100, in Umrangshu, Dima Hasao, Assam, India, four unidentified militants shot and seriously wounded a civilian and shop owner, identified as Giridhari Sahu. No group claimed responsibility for the attack.",
2011,Imphal,India,24.820041,93.934295,Facility-Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,The house of RK Chandrajit was targeted in the attack.,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive for the attack is unknown; however, sources indicated that this was the third grenade attack against Chandrajit, a former Nationalist Congress (NC) party candidate.","09/10/2011: On Saturday afternoon around 1300, at Bhimojit of Thangmeiband Lourong Purel Leikai in Imphal, Manipur, India, unidentified militants tossed a grenade at the residence of RK Chandrajit, a former Nationalist Congress (NC) party candidate. The grenade failed to explode, resulting in no casualties or damages. The specific motive for the attack is unknown; however, sources indicated that this was the third grenade attack against Chandrajit. Police retrieved the grenade from the incident site and no group claimed responsibility for the attack.",
2011,Dainadubi,India,25.907054,90.772892,Facility-Infrastructure Attack,Police,Police Checkpoint,A transport department checkpoint was targeted in the attack.,Explosives/Bombs/Dynamite,Grenade,Garo National Liberation Army,The specific motive for the attack is unknown.,"09/10/2011: On Saturday night around 0330, at Depa Garat, seven kilometers from Dainadubi in East Garo Hills, Meghalaya, India, five to seven suspected Garo National Liberation Army (GNLA) militants hurled a grenade at a transport department checkpoint. The militants then opened indiscriminate fire on security forces deployed there using automatic weapons. No casualties or damages were reported and no group claimed responsibility for the attack.",
2011,Imphal,India,24.817011,93.936844,Facility-Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,"The residence of a retired teacher, Hazi Abdul Ganj,",Explosives/Bombs/Dynamite,Grenade,Unknown,The specific motive for the attack is unknown.,"09/11/2011: On Sunday night at 2330, at an unspecified village in Imphal, Manipur, India, four civilians were wounded when a grenade was tossed at the residence of Hazi Abdul Ganj, a retired school teacher. The victims were identified as Ganjﾒs four children, including two little girls. The windows, walls and doors of the house were partially damaged in the attack. No group claimed responsibility for the attack.",
2011,Shiekhpura,India,26.117863,85.963383,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,A doctor identified as Rajesh Kumar,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),"The specific motive for the attack is unknown for according to police, Kumar was a confidante of the Maoists and had been their attending doctor for several years. Some police sources however suspect that the attack was carried out over extortion demands; while the North Bihar West Zonal Committee of the CPI-M claimed responsibility, alleging that the doctor was a police informer.","09/13/2011: On Tuesday night around 2300, in the Shiekhpura market in East Champaran District, India, around 12 Communist Party of India-Maoists (CPI-M) raided the clinic of Rajesh Kumar while he was sleeping and dragged him to a nearby paddy where he was shot at point-blank range. The specific motive for the attack is unknown for according to police, Kumar was a confidante of the Maoists and had been their attending doctor for several years. Some police sources however suspect that the attack was carried out over extortion demands; while the North Bihar West Zonal Committee of the CPI-M claimed responsibility, alleging that the doctor was a police informer.",
2011,Bijapur,India,18.791667,80.816667,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","G Surraiyya, the head of the village local self-Government institution of Potampalli,",Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The attack was carried out because the victim was accused of being a police informer.,"09/13/2011: On Tuesday, in Chhattisgarh, Bijapur, India, the head of the village local self-Government institution of Potampalli was abducted by suspected Communist Party of India-Maoists (CPI-M) and later killed with an unspecified sharp weapon for allegedly being a police informer. The victim was identified as G Surraiyya and his body was recovered on 09/14/2011, on a forest road about 500 kilometers from Raipur. No group claimed responsibility for the attack.",
2011,Imphal,India,24.833284,93.946163,Facility-Infrastructure Attack,Government (General),Government Building/Facility/Office,The Autonomous District Council (ADC) office,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"09/13/2011: On Tuesday morning around 0545, in Imphal East, Manipur, India, unidentified militants detonated an improvised explosive device at the Autonomous District Council (ADC) office located in Sangakpham Bazaar. The attack caused damage to the fencing wall and shattered the window panes of the building, but resulted in no casualties or extensive damage. No group claimed responsibility for the attack.",
2011,Belpahari,India,22.632149,86.764311,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Villagers,Melee,Blunt Object,Communist Party of India - Maoist (CPI-Maoist),The attack was carried out because the victims refused to join the militants.,"09/13/2011: On Tuesday, in Mahatobandh village in Belpahari, West Midnapore, West Bengal, India, Communist Party of India-Maoist (CPI-Maoist) cadres assaulted 30-40 villagers with sticks after they refused to join the Maoist squad. One villager was reportedly injured during the incident. No group has claimed responsibility for the attack.",
2011,Malkangiri,India,18.364195,81.892418,Facility-Infrastructure Attack,Business,Construction,"Road construction machines, vehicles, and equipment",Incendiary,Arson/Fire,Communist Party of India - Maoist (CPI-Maoist),The attack was carried out to protest against road construction in the area.,"09/14/2011: On Wednesday night, at a construction site in Malkangiri, Odisha, India, a group of 25 Communist Party of India-Maoist (CPI-Maoist) cadres and 100 of their supporters set fire to and damaged several road construction machines and vehicles. The Maoists, after overpowering the security guard, set ablaze two excavators, two tractors and other construction equipment. They also left posters at the site protesting against road construction in the area and they warned those involved of dire consequences. The posters also demanded withdrawal of Security Force personnel from their strongholds.",
2011,Bahalpur,India,26.305637,90.457863,Facility-Infrastructure Attack,Unknown,0,The target of the attack is unknown.,Explosives/Bombs/Dynamite,Other Explosive Type,Muslim United Liberation Tigers of Assam (MULTA),The specific motive for the attack is unknown.,"09/15/2011: On Thursday, at Bahaopur on National Highway 31 in Dhubri, Assam, India, two Muslim United Liberation Tigers of Assam (MULTA) militants were traveling with an improvised explosive device in their car. The explosive weighed more than ten kilograms and had a timer. The two men were stopped and arrested by troops of 19 Madras Regiment and police acting on a tip off, and the explosive was recovered before it detonated. The attack resulted in no casualties or damages and no group claimed responsibility for the attack. The two militants were identified as Jalaluddin and Shahidul Islam.",
2011,Pamalwaya,India,18.741945,80.879097,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Police officers,Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/16/2011: On Friday morning, at a police camp at Pamalwaya in Bijapur, Chhattisgarh, India, Communist Party of India-Maoist (CPI-Maoist) militants carried out a flash attack on police, killing Armed Force Constable, P. C. Khalko, who was on duty just outside the camp. Police retaliated from inside the camp, but the Maoists managed to escape. It is unknown if the attack caused any damages and no group claimed responsibility for the attack.",
2011,Agra,India,27.17667,78.008074,Facility-Infrastructure Attack,Business,Medical/Pharmaceutical,The Jai Hospital was  targeted in the attack.,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"09/17/2011: On Saturday afternoon around 1745, in the waiting room of Jai Hospital in Agra, Uttar Pradesh, India, at least 15 people were injured in an improvised explosive device attack by unidentified assailants. The explosive was a low intensity blast believed to be black in color that was placed in a bag under a bench in front of the reception counter. Forensic experts recovered pieces of battery and wire from the incident site. The windowpanes were damaged in the attack and no group claimed responsibility.",
2011,Gopnar,India,19.48776,80.70562,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,"Borra Vidpi, a civilian and suspected police informer,",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The attack was carried out because the victim was accused of being a police informer.,"09/19/2011: On Monday, in Gopnar village in Bhamragad tehsil (revenue unit), Gadchiroli, Maharashtra, India, a civilian, suspected to be a police informer, was abducted and shot by the Maoists. The victim was identified as Borra Vidpi. No groups claimed responsibility, but the Maoists are suspected in the abduction.",
2011,Dhanora,India,19.639543,79.474959,Facility-Infrastructure Attack,Private Citizens & Property,Named Civilian,"Civilians and former militants identified as Ranu (Kiran Pusali), and his wife Jaswanda (Devli),",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),"The specific motive for the attack is unknown; however, the victims were former cadres of the militant outfit believed to be responsible for the attack.","09/20/2011: On Tuesday night, in Jhari village in Dhanora tehsil (revenue unit), Gadchiroli, Maharashtra, India, Communist Party of India-Maoist (CPI-M) cadres abducted Ranu (Kiran Pusali), and his wife Jaswanda (Devli), from a relative's house. The victims identified as former cadres of the outfit who laid down their arms on 05/17/2010, were later shot and killed. No group claimed responsibility, but the Maoists are suspected in the abduction.",
2011,Pakuria,India,22.619715,88.287474,Facility-Infrastructure Attack,Government (General),Politician or Political Party Movement/Meeting/Rally,"A local leader of the Trinamool Congress (TC), identified as Lalmohan Mahato,",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/20/2011: On Tuesday morning, in Pakuria, Jhargram, West Midnapore, West Bengal, India, a local leader of the Trinamool Congress (TC), identified as Lalmohan Mahato, was shot and killed by Communist Party of India - Maoists (CPI-M) in front of his house. Maoist posters were recovered from near Mahato's body.",
2011,Raipur district,India,21.251384,81.629641,Facility-Infrastructure Attack,Police,Police Patrol (including vehicles and convoys),A police patrol,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"09/21/2011: On Wednesday morning, in the forests of Aamed in Raipur District, Chhattisgarh, India, Communist Party of India-Maoist (CPI-Maoist) ambushed a police search team returning from its patrol. CPI-Maoists reportedly knew about their return route, and fired on the policemen. Two officers were injured as a result. No group claimed responsibility for the attack.",
2011,Tamenglong,India,24.984523,93.503509,Facility-Infrastructure Attack,Private Citizens & Property,Vehicles/Transportation,Three civilian vehicles,Incendiary,Arson/Fire,Unknown,"The specific motive for the attack is unknown; however,  the vehicles were coming from Imphal and carrying artists and musical instruments for a function which was scheduled to be held at a public school complex.","09/21/2011: On Wednesday night at 0045, in Tamenglong, Manipur, India, unidentified militants set three vehicles on fire at a Tamenglong Bazar. The vehicles were coming from Imphal and carrying artists and musical instruments for a function which was scheduled to be held at a public school complex. Two of the vehicles were Bolero jeeps, registration numbers MNO4A/5795 and MNO3P/2323, both belonging to Hijam Suresh. The other vehicle was a Tata Safari, registration number MNOIK/6893, which belonged to Z Kikhonbou. All of the vehicles were completely burnt. Musical instruments costing more than $5,642 (Rs 3 lacs) were also burnt in the blaze. No group claimed responsibility.",
