Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,,,,
2000,Lungsung,India,26.636002,90.337053,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Residents of Kokrajha village,Firearms,Unknown Gun Type,National Democratic Front of Bodoland (NDFB),Unknown,"11/24/2000: Suspected National Democratic Front of Bodoland (NDFB) extremists gunned down eight villagers - five Bodos and three Santhals - who had gone to the Lungsung forest in Kokrajhar district, India, to collect firewood.",,,,
2000,Jagara,India,26.362324,91.383042,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Citizens of Jagra village,Firearms,Unknown Gun Type,All Tripura Tiger Force (ATTF),Unknown,"11/25/2000: In the first of two related incidents, suspected United Liberation Front of Assam (ULFA) members attacked several individuals in the village of Jagra in Nalbari district, India. The approximately ten perpetrators arrived at the house of Sukhdeb Majhi and Patal Majhi and called them out. They shot the former, but the latter managed to escape. The rebels them moved on to another house, first calling the inhabitants out, then breaking down the door and killing Sufi Alam and Kaumi Alam. Four other individuals fled from the house. ULFA denied responsibility for the killings. The All Tripura Tiger Force (ATTF) claimed responsibility, but police believed that there was no such group and the ULFA made the claim in an attempt to mislead authorities.",,,,
2000,Kumrighata,India,26.44295,91.441519,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Citizens of Kumrighata village,Firearms,Unknown Gun Type,All Tripura Tiger Force (ATTF),Unknown,"11/25/2000: In the second of two related incidents, suspected United Liberation Front of Assam (ULFA) members left the village of Jagra and traveled 10 kilometers to Kumrikata, Nalbari district, India, where they went to a house and asked the inhabitants to open the door. There they killed Mohd Salim Khan and injured Rafiq Khan. ULFA denied responsibility for the killings. The All Tripura Tiger Force (ATTF) claimed responsibility, but police believed that there was no such group and the ULFA made the claim in an attempt to mislead authorities.",,,,
2000,Bongaigaon,India,26.479468,90.556866,Armed Assault,Business,0,Hindu civilians at a railway laborers' colony in Bongaigaon,Firearms,Automatic Weapon,United Liberation Front of Assam (ULFA),Unknown,"11/30/2000: Two suspected United Liberation Front of Assam motorcycle-borne militants raided a railway laborers' colony in Bongaigaon, Indian and fired indiscriminately from AK-series rifles. They killed 16 people and injured 11 more.",,,,
2000,Pattan,India,34.16047,74.555116,Armed Assault,Police,Police Patrol (including vehicles and convoys),"Security Vehicle-Patton, India",Explosives/Bombs/Dynamite,Grenade,Unknown,"The militants were possibly reacting to Prime Minister Atal Bihari Vajpayee's cease fire, which they perceived as propaganda.","12/01/2000: Suspected Islamic militants hurled a grenade at a passing security vehicle in Pattan, Kashmir. The grenade missed its target and exploded in a crowded street, injuring 12 civilians. The attack occurred in the context of several other grenade attacks, during a proposed cease fire.",,,,
2000,Srinagar,India,34.071901,74.804964,Armed Assault,Police,Police Patrol (including vehicles and convoys),"Security Vehicle-Jehangir Chowk, India",Explosives/Bombs/Dynamite,Grenade,Unknown,"The militants were possibly reacting to Prime Minister Atal Bihari Vajpayee's cease fire, which they perceived as propaganda.","12/01/2000: Suspected Islamic militants hurled a grenade at a passing security vehicle in the Jehangir Chowk area of Srinagar, India. The grenade missed its target and exploded in a crowded street, injuring 3 civilians. The attack occurred in the context of several other grenade attacks, during a proposed cease fire.",,,,
2000,Srinagar,India,34.071901,74.804964,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Jehangir Chowk, India",Explosives/Bombs/Dynamite,Vehicle,Unknown,"The militants were possibly reacting to Prime Minister Atal Bihari Vajpayee's cease fire, which they perceived as propaganda.","12/01/2000: Suspected Islamic militants executed a car bomb attack in Jehangir Square in Srinagar, India. The timing device concealed under a car hood blew up, causing no casualties and no reported damage. This was the first of several related attacks and may be a response to a proposed cease fire that was seen as a propaganda ploy.",,,,
2000,Srinagar,India,34.071901,74.804964,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Jehangir Chowk, India",Explosives/Bombs/Dynamite,Vehicle,Unknown,"The militants were possibly reacting to Prime Minister Atal Bihari Vajpayee's cease fire, which they perceived as propaganda.","12/01/2000: Suspected Islamic militants executed a car bomb attack in Jehangir Square in Sringara, India. The device blew as paramilitary forces cordoned off the area in response to an earlier car bomb, causing no casualties and no reported damage. This was the first of several related attacks and may be a response to a proposed cease fire that was seen as a propaganda ploy.",,,,
2000,Sarju,India,33.778175,76.576171,Armed Assault,Government (General),"Government Personnel (excluding police, military)","Jallanmarh-Sarjao Village Defense Committee member, Gyan Singh's, residence",Explosives/Bombs/Dynamite,Grenade,Unknown,"The militants were possibly reacting to Prime Minister Atal Bihari Vajpayee's cease fire, which they perceived as propaganda.","12/01/2000: At least two suspected Islamic militants attacked the house of Gyan Singh, a village defense committee member of Jallanmarh-Sarjao, in Sarju India. The perpetrators first threw grenades and subsequently entered the house and shot dead four children and injured two others.",,,,
2000,Sugnu,India,24.293794,93.877609,Armed Assault,Religious Figures/Institutions,Religious Figure,Rev Fr Jacob Chittinapilly,Firearms,Unknown Gun Type,Gunmen,"Specific motive is unknown; however, authorities believe that the incident was related to an extortion attempt the week earlier.","12/2/2000: Two unidentified gunmen abducted Rev Fr Jacob Chittinapilly, a Catholic priest, near his parish in Sugnu area, Thoubal district, Manipur state, India.  The assailants directed the priest and his driver to a nearby area, where they shot and killed the priest.  The driver was not injured in the attack.  Authorities believe the attack was related to an extortion demand the priest had received a week earlier.",,,,
2000,Qazigund,India,33.592697,75.165839,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians on a passenger bus,Firearms,Unknown Gun Type,Kashmiri Militants,"Specific motive is unknown; however, separatist violence is common in this area.","12/3/2000:  Suspected militants shot at a passenger bus in Qazigund, Anantnag district, Kashmir, India.  Two young sisters were wounded in the shooting.  No group has claimed responsibility for the incident.",,,,
2000,Tinsukia district,India,27.491929,95.347833,Armed Assault,Business,0,"Civilians in Tinsukia, Assam",Firearms,Automatic Weapon,United Liberation Front of Assam (ULFA),Unknown,"12/07/2000: Suspected United Liberation Front of Assam militants gunned down 26 people and seriously wounded 16 in a remote forest in Tinsukia, Assam. The majority of the victims were reportedly businessmen returning from Konkua and Bhola in five trucks on the Tazukazia road, where they were ambushed.",,,,
2000,Lalpora,India,34.542597,74.462821,Armed Assault,Police,Police Security Forces/Officers,"Special Police Officer, Abdul Qadoos S/o Munna R/o Lalpora, Lolab",Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",Unknown,Unknown,"12/10/2000: Unidentified militants fired a rocket towards the house of a Special Police Officer (SPO), Abdul Qadoos S/o Munna R/o Lalpora, Lolab, in Lalpura, India. The house was destroyed and the SPO was killed in addition to two other civilian family members.",,,,
2000,New Delhi,India,28.632381,77.220004,Armed Assault,Police,Police Patrol (including vehicles and convoys),Border Security Force vehicle in the Qamarwari outskirts of New Delhi,Explosives/Bombs/Dynamite,Land Mine,Jaish-e-Mohammad (JeM),Unknown,"12/11/2000: Militants claiming to belong to Jaysh-e Muhammad (Army of Muhammad) planted a mine in a bicycle and parked it on the main Srinagar-Baramulla highway, in the Qamarwari outskirts of New Delhi. When a vehicle of BSF [Border Security Force] 61 Bn passed the explosive near the Shyam Lal's filling station, militants activated the mine with a remote control device. The targeted vehicle suffered extensive damage, five BSF personnel and 3 civilians sustained injuries. One civilian, Yunis Azam Kawoosa S/o Abdul Aziz Kawoosa of Qarfali Mohalla died due to injuries sustained in the attack. A private load-carrier and a pick-up van of Forest Department were also damaged in the blast.",,,,
2000,Arwani,India,33.788992,75.05077,Armed Assault,Government (General),"Government Personnel (excluding police, military)","Ali Mohammad Sagar, the Public Works Minister",Explosives/Bombs/Dynamite,Grenade,Militants,Unknown,"12/13/2000: Militants attempted to assassinate Ali Mohammad Sagar, the Public Works Minister, during the inauguration of a new bridge in Arwani village, Anantnag district of south Kashmir, India.  The attackers threw grenades at Sagar and opened fire, but the minister managed to escape unharmed.  At least 15 people, mostly police, were injured in the attack.  No group has claimed responsibility for the attack.",,,,
2000,Brahmchak,India,25.207514,84.974297,Armed Assault,Violent Political Party,Party Official/Candidate/Other Personnel,Members,Firearms,Unknown Gun Type,People's War Group (PWG),"Specific motive is unknown; however, authorities speculate that the attack was retaliatory","12/17/2000:  Suspected members of the People's War Group (PWG) shot and killed four people in Brahmchack village, Bihar state, India.  The four victims were supporters of the Communist Party of India-Marxist Leninist, a rival group of the PWG.  Authorities believe that it may have been a retaliatory attack.",,,,
2000,Wokha district,India,26.091035,94.258974,Armed Assault,Private Citizens & Property,Student,Students traveling on a bus in Nagaland,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"12/18/2000: A bomb exploded on a bus traveling between Dimapur and Wokha, in Wokha district, Nagaland, India.  The passengers on the bus were mostly students traveling home for the Christmas holidays.  At least four passengers were killed and at least another 12 were injured in the explosion.  Three individuals have been taken into custody in connection with the attack; however, no group has claimed responsibility.",,,,
2000,New Delhi,India,28.632381,77.220004,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,"The ""Red Fort""-Indian Army Post in New Delhi, India",Firearms,Automatic Weapon,Lashkar-e-Taiba (LeT),To force the Indian Army to retaliate and consequently derail the peace process.,"12/22/2000: Pakistan-based Lashkar-e Taiba attacked the Indian ""Red Fort"" military post in New Delhi, India, killing 3 and wounding an unspecified number of people. The action was perceived as an effort to derail the peace process and terrorize the citizens of India.",,,,
2000,Unknown,India,33.778175,76.576171,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,"Indian Army headquarters in Kashmir, India",Explosives/Bombs/Dynamite,Vehicle,Jamiat ul-Mujahedin (JuM),Unknown,"12/25/2000: A car bomb exploded outside of the Indian Army headquarters in Kashmir, India, killing eight people and wounding 23 others. Jamaat-ul Mujahideen claimed responsibility for the explosion in telephone calls to local newspapers. Within hours, however, a spokesman for the Jaysh-e Muhammad (Army of Muhammad) also claimed responsibility.",,,,
2001,Keshpur,India,22.556913,87.461815,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Trinamool Congress,Firearms,Unknown Gun Type,Communist Party of India- Marxist,Unknown,"01/03/2001: Fighting broke out in Keshpur, Midnapore District, West Bengal, India with some associated with the Trinamool Congress being subjected to stoning and shootings. Authorities believed 15 to be injured. Members of the Communist Party of India - Marxist (CPI-M) were believed to be responsible.",,,,
2001,Poonch,India,33.767001,74.092404,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Indian soldiers stationed in Poonch,Firearms,Automatic Weapon,Hizbul Mujahideen (HM),"The attack was to avenge the death of Haider Ali, who was killed by Indian troops two weeks before this incident.","01/05/2001: The Hizb-ul-Mujahidin (HM), Lashkar-e-Taiba and Harkatul Jihad-e-Islami joined together on January 5, 2001 to attack Indian troops in Poonch, India. They killed nine and wounded fifteen with machine guns and rockets.",,,,
2001,Srinagar,India,34.083658,74.797368,Armed Assault,Military,Paramilitary,Indian paramilitary in Kashmir,Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"01/05/2001: Twenty-seven were injured when suspected Islamic militants threw grenades at an Indian paramilitary vehicle in Srinagar, India",,,,
2001,Dhalai district,India,23.851951,91.907002,Armed Assault,Transportation,Train/Train Tracks/Trolley,Indian railway workers,Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),"Specific motive is unknown; however, authorities believe that the kidnapping was related to recent extortion attempts on the railway.","1/7/2001: Approximately 20 suspected members of the National Liberation Front of Tripura (NLFT) kidnapped seven railway employees at Sindhukumar, Tripura, India.  The employees were laying tracks at the time of the incident.  Authorities believe that the NLFT perpetrated the incident due to the fact that they have been trying to extort money from the railway recently.",,,,
2001,Sopore,India,34.286763,74.462401,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),A security vehicle and troops in Sopore,Explosives/Bombs/Dynamite,Grenade,Muslim Separatists,"Specific motive is unknown; however, India extended a ceasefire the month previous and most militant groups have rejected it and increased attacks against security forces.","1/7/2001: Muslim separatists threw a grenade at a security vehicle in Sopore, Kashmir, India.  The grenade missed the vehicle and fell into a crowded market place, injuring at least 26 people.  No group has claimed responsibility for the attack.",,,,
2001,Dhalai district,India,23.846698,91.909924,Armed Assault,Business,Construction,Indian railway workers,Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),"Specific motive is unknown; however, authorities believe that the kidnapping was related to recent extortion attempts on the railway.","1/7/2001: Suspected members of the National Liberation Front of Tripura (NLFT) kidnapped two railway employees at Nalifapara, Tripura, India.  The employees were delivering water to other workers at the time of the incident.  Authorities believe that the NLFT perpetrated the incident due to the fact that they have been trying to extort money from the railway recently.",,,,
2001,Diphu,India,25.846914,93.429764,Armed Assault,Private Citizens & Property,Named Civilian,Benson Ingti and his family,Firearms,Unknown Gun Type,United People's Democratic Solidarity (UPDS),Specific motive is unknown, authorities speculate that the attackers were part of a group that had been targeting settlers in the area.,"1/7/2001: Suspected members of the United Peoples Democratic Solidarity (UPDS) attacked the family of Benson Ingti, a local Karbi tribesman, near Diphu, Assam, India.  After entering the home of the tribesman, the militants lined up the seven members of the household and opened fire on them.  Four were killed and three were seriously injured.  The motive behind the attack is unknown.",,,
2001,Srinagar,India,34.083658,74.797368,Armed Assault,Telecommunication,Telephone/Telegraph,Central Telegraph Office in Srinagar,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"01/09/2001: A bomb was set off at the gate of the Central Telegraph Office in Srinagar, India. The explosion went off during the morning hours while a large number of people were gathered to deposit their telephone bills. There was property damage and a large number of injuries. Unknown militants were believed to be responsible for the attack.",,,,
2001,Srinagar,India,34.083658,74.797368,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Shahid ul Islam,Firearms,Unknown Gun Type,Unknown,Unknown,"01/09/2001: There was an assassination attempt on Hurriyat leader Shahid ul Islam outside his residence in Srinagar, India. He was attacked by two unknown militants with guns.",,,,
2001,Srinagar,India,34.083658,74.797368,Armed Assault,Government (General),"Government Personnel (excluding police, military)",Farooq Abdullah,Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"01/14/2001: Muslim guerrillas fired two grenades at the Kashmir Provincal Chief, Farooq Abdullah, while he was in downtown Srinagar. He escaped unharmed but two bystanders were injured.",,,,
2001,Rosera,India,25.756786,86.027462,Armed Assault,Violent Political Party,Party Official/Candidate/Other Personnel,Meeting,Firearms,Automatic Weapon,Unknown,Unknown,"01/15/2001: Seven were killed and 16 injured when unknown gunmen opened fire on a group of people leaving a NDA meeting in Bihar, India.",,,,
2001,Srinagar,India,34.002039,74.762446,Armed Assault,Airports & Aircraft,Airport,Srinagar airport,Explosives/Bombs/Dynamite,Grenade,Lashkar-e-Taiba (LeT),Unknown,"01/16/2001: Six members of Lashkar-e-Taiba (LeT) were responsible for an attempted suicide attack on the Srinagar airport in Kashmir, India. The group was able to fire grenades and fired indiscriminately but was killed before they were able to continue the attack. Eleven were killed, including the militants, and 14 were injured.",,,,
2001,Srinagar,India,34.083658,74.797368,Armed Assault,Transportation,0,Kashmir public transportation in Srinagar,Explosives/Bombs/Dynamite,Land Mine,Unknown,Unknown,"01/21/2001: Six were killed and 22 were injured when a vehicle drove over a landmine in Srinagar, India. Muslim guerillas were suspected.",,,,
2001,Jammu,India,32.726602,74.857026,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Sher-e-Kashmir Bhawan,Explosives/Bombs/Dynamite,Unknown Explosive Type,Other,Unknown,"01/21/2001: A bomb blast took place outside the National Conference Headquarters of the ruling party in Jammu, India. There was property damage but no injuries were reported. Authorities believe Muslim guerrillas were to blame.",,,,
2001,Bishnupur,India,26.674331,91.388518,Armed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,Woodcutters living in Bishnupur-Sankuchi village,Firearms,Automatic Weapon,United Liberation Front of Assam (ULFA),Unknown,"1/22/2001: At least 20 suspected members of the United Liberation Front of Assam (ULFA) attacked woodcutters in their homes in Bishnupur-Sankuchi village, Nalbari district, Assam, India.  The assailants killed five woodcutters, and injured another two.  The motive behind the attack is unclear.",,,,
2001,Diphu,India,25.846914,93.429764,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians living in Diphu,Explosives/Bombs/Dynamite,Unknown Explosive Type,Militants,Unknown,"1/24/2001: Suspected tribal militants exploded a bomb in Diphu, Assam, India.  12 people were seriously wounded in the blast; two of the wounded died in hospital.  The attack occurred shortly before Republic Day.  No group has claimed responsibility for the incident.",,,,
2001,Rishikesh,India,30.106756,78.298845,Armed Assault,Transportation,Bus (excluding tourists),"A UP Road Transport Corporation bus travelling from Delhi to Rishikesh, India",Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"01/26/2001: A bomb exploded on a bus traveling from Delhi just before it arrived at the bus station in Rishikesh, India. Seventy passengers exited from the bus moments before the bomb exploded inside the vehicle. The driver and the conductor of the bus were killed in the explosion. No group claimed responsibility for the attack, but local authorities suspected separatist rebels were behind the bombing since the attack occurred on India's Republic Day.",,,,
2001,Srinagar,India,34.054023,74.817759,Armed Assault,Private Citizens & Property,Religion Identified,Sikh civilians in the vicinity of Mahjoor Nagar,Firearms,Unknown Gun Type,Muslim Separatists,"Specific motive is unknown; however, sources indicate that attack may have been in retaliation for the killing of a Muslim civilian several days earlier.","2/3/2001: Suspected Muslim separatists opened fire on a group of Sikhs in Mahjoor Nagar, a Sikh-majority residential neighborhood in Srinagar, Jammu and Kashmir, India.  Six Sikhs were killed and five were critically injured.  No group has claimed responsibility for the incident.",,,,
2001,Saloha,India,33.029167,75.080556,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Three members of the Village Defense Committee, their relatives, and their houses",Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"02/09/2001: Suspected Muslim separatist rebels killed at least 15 members of three families in the village of Salohi (Solasi) in Indiaﾒs Rajouri District. The attackers targeted three members of the Village Defense Committee, whom they shot. Reports indicate that the attackers then lobbed hand grenades into mud houses and then set them on fire. No group claimed responsibility for the attack.",,,,
2001,Srinagar,India,34.083658,74.797368,Armed Assault,Police,"Police Building (headquarters, station, school)",Police personnel at a high-security police facility in Srinagar,Explosives/Bombs/Dynamite,Grenade,Lashkar-e-Taiba (LeT),Unknown,"02/09/2001: Four Lashkar-e Taiba guerrillas broke into a high-security police control room in Srinagar, India, killing eight policemen and wounding six others. Two other unidentified people were killed as well. The attackers lobbed grenades and fired guns at the policemen in a battle that lasted for several hours. Indian authorities were unable to find the attackers and believed that they escaped the scene. Lashkar-e Taiba claimed responsibility for the intrusion in telephone calls to local Srinagar newspapers.",,,,
2001,Anantnag,India,33.733336,75.148983,Armed Assault,Government (General),"Government Personnel (excluding police, military)","P.L. Handoo, the state Law Minister of Jammu and Kashmir",Firearms,Unknown Gun Type,Militants,Unknown,"2/10/2001: The house of P.L. Handoo, the state Law Minister of Jammu and Kashmir, came under attack at Anantnag, south Kashmir, India.   Unidentified militants opened fire and threw grenades at the house, which was heavily guarded.  Two drivers were injured in the attack.  Handoo and his family were in Jammu at the time of the incident.  No group claimed responsibility for the attack.",,,,
2001,Charar-i-Sharif,India,33.8629,74.766298,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Ali Mohammad Bhat, an official from National Conference",Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"2/14/2001: A bomb exploded in the home of Ali Mohammad Bhat, an official from National Conference, in the Charar-i-Sharif area, Jammu and Kashmir, India.  Four family members were hurt in the explosion and the house was damaged; however, Bhat was not harmed in the attack.  No group claimed responsibility for the incident.",,,,
2001,Lalpora,India,34.542597,74.462821,Armed Assault,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",Children in a playground,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"2/19/2001: An explosive device detonated on a playground in Lalpora, Kupwara district, Jammu and Kashmir, India.  Several teenage children discovered it and were playing with it when it exploded.  One 13-year-old boy was killed in the explosion and at least three more were injured.  It is not known who left the device in the playground.",,,,
2001,Sodal,India,34.370951,74.214998,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Wali Mohammad Khan, a National Conference activist",Firearms,Unknown Gun Type,Militants,"Specific motive is unknown; however, the victim had recently filed nominations for panchayat elections.","2/20/2001: Unidentified militants shot and killed Wali Mohammad Khan, a National Conference activist, in his home in Sodal village, Kupwara district, Jammu and Kashmir, India.  Khan had recently filed nominations for panchayat elections; he had withdrawn them after being threatened.",,,,
2001,Agartala,India,23.831862,91.287127,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Madhusudan Saha, an opposition MLA on Tripura Congress",Firearms,Unknown Gun Type,Gunmen,Unknown,"2/20/2001: Two unidentified gunmen shot and killed Madhusudan Saha, an opposition MLA on Tripura Congress, near his home in Sibnagar area of Agartala, Tripura, India.  The gunmen opened fire on him from close range, hitting him once in the arm and twice in the head.  No group claimed responsibility for the killing.",,,,
2001,Tarzoo,India,34.270544,74.497108,Armed Assault,Private Citizens & Property,Laborer (General)/Occupation Identified,"Abdul Ghani Bhat, a Kashmiri separatist leader and the chairman of the All Party Hurriyat Conference",Explosives/Bombs/Dynamite,Grenade,Unknown,"Specific motive is unknown; however, Pakistani authorities blame the Indian government for the attack.  They state the attack was designed to ""weaken the freedom struggle"".","2/22/2001: Unidentified assailants attached a grenade to a vehicle transporting Abdul Ghani Bhat, a Kashmiri separatist leader and the chairman of the All Party Hurriyat Conference, in Tarzoo, Jammu and Kashmir, India.  Bhat had just finished speaking at a public gathering and was about to get into his vehicle when his bodyguard spotted a grenade attached to the outside of the jeep.  The bodyguard safely disabled the device before it could explode.  No one was injured in the incident.  No group has claimed responsibility; however, Pakistan blames the incident on Indian authorities.",,,,
2001,Kishtwar,India,33.313294,75.763367,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Two civilians at Kishtwar,Firearms,Unknown Gun Type,Militants,Unknown,"2/23/2001: Two bodies were discovered in Kishtwar, Dodo district, Jammu and Kashmir, India.  The bodies had been shot several times and their identity is unknown.  Authorities speculate that militants were involved in the shooting; however, no group has claimed responsibility for the incident.",,,,
2001,Bagdam district,India,34.011779,74.774668,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Noor Mohammad Shah, the Deputy Block President for the National Conference",Unknown,0,Militants,Unknown,"2/26/2001: Noor Mohammad Shah, the Deputy Block President for the National Conference, was killed in Latina village, Kashmir, India.  No group has claimed responsibility for the incident; however, authorities believe that militants orchestrated the attack.",,,,
2001,Manjapu,India,33.778175,76.576171,Armed Assault,Police,Police Security Forces/Officers,Jammu and Kashmir Police and Indian Reserve Police,Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"03/02/2001: Militants ambushed a joint police party of Jammu and Kashmir Police and Indian Reserve Police killing 16 and injuring nine with hand grenades and rockets at Manjapu, India. No group claimed responsibility for the attack.",,,,
2001,Bampu,India,23.561326,91.634788,Armed Assault,Military,Paramilitary,Central Reserve Police Force personnel near the town of Bampu,Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),Unknown,"03/03/2001: 13 people, including 11 Central Reserve Police Force (CRPF) personnel, were killed in an ambush by members of the National Liberation Front of Tripura (NLFT) near the town of Bampu, India as they were returning from a patrol. The rebels used both a land mines and guns in the attack. No group claimed responsibility for the attack.",,,,
2001,Dangarpora,India,34.142813,74.50751,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Ghulam Mohammad Bhat, a National Conference activist",Firearms,Unknown Gun Type,Militants,Unknown,"3/1/2001: Militants shot and killed Ghulam Mohammad Bhat, a National Conference activist, in Dangerpora, Baramulla, Jammu and Kashmir, India.  Specific motive is unknown.",,,,
2001,Surankot,India,33.639869,74.263416,Armed Assault,Military,Military Barracks/Base/Headquarters/Checkpost,Soldiers in an army camp at Surankot,Firearms,Unknown Gun Type,Unknown,Unknown,"03/05/2001: Four attackers stormed an army camp at Surankot in the Poonch District of Indiaﾒs Jammu and Kashmir state, killing two soldiers and injuring six others. No group claimed responsibility for the attack.",,,,
2001,Fulkumari,India,26.516287,90.156602,Armed Assault,Private Citizens & Property,Named Civilian,Ishan Mushary, Susanta Mushary, Nepal Basumatri, Ranjit Mushary, Sachin Rava,Firearms,Unknown Gun Type,Militants,The specific motive was unknown.,"03/06/2001: Five Bodo individuals were shot and killed when their truck was ambushed at Fukkumari village, in Assam, India.  Although no group claimed responsibility, sources suggest that a group of at least 10 adivasi militants carried out the attack.  Authorities were investigating the incident."
2001,Veelu,India,33.778175,76.576171,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),Indian army in a vehicle in Veelu,Explosives/Bombs/Dynamite,Land Mine,Unknown,Unknown,"03/13/2001: An Indian Army vehicle ran over a land mine This incident occurred on a road in the village of Veelu, India. One officer and five soldiers were injured in the blast which badly damaged their vehicle. No group claimed responsibility for the incident.",,,,
2001,Imphal,India,24.817011,93.936844,Armed Assault,Private Citizens & Property,Marketplace/Plaza/Square,Civilians in a market in the town of Imphal,Explosives/Bombs/Dynamite,Unknown Explosive Type,Kanglei Yawol Kanna Lup (KYKL),Unknown,"03/13/2001: Suspected members of the Kanglei Yawol Kunna Lup (KYKL) set off a crude bomb in a market in Imphal, India. The blast killed a mother and her infant child along with a paramilitary soldier. Three others were injured in the attack as well. No group claimed responsibility for the bombing.",,,,
2001,Baramulla district,India,34.205618,74.35399,Armed Assault,Transportation,Bus Station/Stop,Bus stand,Explosives/Bombs/Dynamite,Grenade,Militants,"Although the specific motive was unknown, the source notes that violence between militants and the government has been high as the militants do not acknowledge the peace treaty established by the government over the disputed Kashmir region.","3/13/2001: A grenade explosion wounded two individuals after unidentified militants targeted a bus stand in Baramulla district, India.  No group claimed responsibility for the incident.",,,,
2001,Kulipora,India,33.778175,76.576171,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Ghulam Mohammad Ganai,Firearms,Unknown Gun Type,Militants,"Although the specific motive was unknown, sources note that suspected militants had been involved in several violent incidents with members of the government over the past several days.","03/17/2001: Unidentified gunmen shot Ghulam Mohammad Ganai, National Conference block president, in his home around 9:45pm in Kulipora village, Kashmir region, India.  Ganai later died from his injuries.  A police officer, Abdul Majid, was wounded in the shooting.  No group claimed responsibility for the attack although sources blame suspected militants.",,,,
2001,Ramgaon,India,26.613806,91.740436,Armed Assault,Private Citizens & Property,Farmer,Eleven Adivasi tribal farmers,Firearms,Unknown Gun Type,National Democratic Front of Bodoland (NDFB),"Although the specific motive was unknown, sources note that ongoing violence between tribes has killed hundreds, and that this was a possible attempt by the National Democratic Front of Bodoland (NDFB) to expel Adivasi tribal members from a region the NDFB considered theirs.","03/18/2001: Members of the National Democratic Front of Bodoland (NDFB), shot and killed six Adivasi Santhal tribal farmers and wounded another five in Ramgaon village, in the state of Assam, India.  The group did not claim responsibility for the attack.",,,,
2001,Sonpah,India,34.010443,74.603442,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Safdar Malik,Firearms,Unknown Gun Type,Militants,"Although the specific motive was unknown, sources note that Malik had recently resigned from his position as block president in a newspaper advertisement, but was possibly killed because of his association with the National Conference anyway.","03/22/2011: Unidentified gunmen shot and killed Safdar Malik, head of his village and block president of the National Conference, as he was going home from Sonapah village, Kashmir, India.  Although no group claimed responsibility for the attack, sources blamed militants.",,,,
2001,Manu,India,23.997294,91.9906,Armed Assault,Private Citizens & Property,Vehicles/Transportation,Civilian vehicle convoy outside Manu,Unknown,0,National Liberation Front of Tripura (NLFT),"Although the specific motive was unknown, sources note that violent attacks in the area have occurred more frequently recently, and that the NLFT was a known presence in the area.  According to sources, the NLFT's goal was to achieve independence for their homeland.","03/24/2001: An attack on a civilian convoy with a paramiltary escort killed five, including two soldiers, and injured three outside of Manu town, Tripura state, India.  Authorities attributed the incident to the National Liberation Front of Tripura (NLFT), although no group claimed responsibility for the attack.",,,,
